No.,Symbol,Company,Sector,Industry
323,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services
324,MCO,Moody's Corporation,Financial,Financial Data & Stock Exchanges
325,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail
326,MAS,Masco Corporation,Industrials,Building Products & Equipment
327,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution
328,TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail
329,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research
330,PKI,"PerkinElmer, Inc.",Healthcare,Diagnostics & Research
331,VMC,Vulcan Materials Company,Basic Materials,Building Materials
332,PSA,Public Storage,Real Estate,REIT - Industrial
333,MSCI,MSCI Inc.,Financial,Financial Data & Stock Exchanges
334,O,Realty Income Corporation,Real Estate,REIT - Retail
335,CPT,Camden Property Trust,Real Estate,REIT - Residential
336,NWL,Newell Brands Inc.,Consumer Defensive,Household & Personal Products
337,CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services
338,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail
339,NSC,Norfolk Southern Corporation,Industrials,Railroads
340,TGT,Target Corporation,Consumer Defensive,Discount Stores
341,APTV,Aptiv PLC,Consumer Cyclical,Auto Parts
342,HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail
343,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services
344,JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services
345,MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos
346,URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services
347,GL,Globe Life Inc.,Financial,Insurance - Life
348,NTRS,Northern Trust Corporation,Financial,Asset Management
349,CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods
350,SNA,Snap-on Incorporated,Industrials,Tools & Accessories
351,GPC,Genuine Parts Company,Consumer Cyclical,Specialty Retail
352,CINF,Cincinnati Financial Corporation,Financial,Insurance - Property & Casualty
353,ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail
354,LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods
355,ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking
356,TYL,"Tyler Technologies, Inc.",Technology,Software - Application
357,INVH,Invitation Homes Inc.,Real Estate,REIT - Residential
358,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management
359,PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric
360,LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services
361,WBD,"Warner Bros. Discovery, Inc.",Communication Services,Entertainment
362,LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric
363,MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging
364,WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric
365,ADSK,"Autodesk, Inc.",Technology,Software - Application
366,PTC,PTC Inc.,Technology,Software - Application
367,MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research
368,ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services
369,EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty
370,KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments
371,MKTX,MarketAxess Holdings Inc.,Financial,Capital Markets
372,PRU,"Prudential Financial, Inc.",Financial,Insurance - Life
373,BEN,"Franklin Resources, Inc.",Financial,Asset Management
374,RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing
375,SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods
376,AVY,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers
