No.,Symbol,Company,Sector,Industry,Country,Market Cap,P/E,Book/sh,Cash/sh,Dividend Yield,Short Ratio,Total Debt/Equity,Profit Margin,Performance (Quarter),Performance (YTD),Beta,Earnings Date,Volume,Price,Change
144,SW,Smurfit WestRock plc,Consumer Cyclical,Packaging & Containers,Ireland,22223.83,34.96,33.49,1.64,3.78%,4.01,0.84,0.015,-0.207,-0.207,1.04,4/4/2025 8:30,6127756,42.71,-9.24%
145,SXT,Sensient Technologies Corp,Basic Materials,Specialty Chemicals,USA,3185.79,25.53,25.16,0.63,2.29%,2.39,0.63,0.080,0.054,0.054,0.6,4/25/2025 8:30,425295,75.07,-0.79%
146,T,"AT&T, Inc",Communication Services,Telecom Services,USA,205296.04,19.17,14.54,0.47,3.90%,2.37,1.38,0.088,0.256,0.256,0.41,4/23/2025 8:30,48912278,28.6,1.63%
147,TBBB,BBB Foods Inc,Consumer Defensive,Discount Stores,Mexico,3150.6,,1.79,1.92,,1.48,2.11,0.005,-0.007,-0.007,0.62,4/9/2025 16:30,916849,28.08,3.05%
148,TECK,Teck Resources Ltd,Basic Materials,Other Industrial Metals & Mining,Canada,17152.46,75.7,35.81,10.48,1.08%,2.55,0.38,0.024,-0.159,-0.159,0.78,4/24/2025 8:30,6735554,34.08,-9.36%
149,TFC,Truist Financial Corporation,Financial,Banks - Regional,USA,48351.67,11.13,43.9,,5.69%,3.18,1.03,0.183,-0.146,-0.146,0.8,4/17/2025 8:30,17871845,37.04,-10.88%
150,TMHC,Taylor Morrison Home Corp,Consumer Cyclical,Residential Construction,USA,5859.07,6.95,57.38,4.79,,1.85,0.37,0.108,-0.059,-0.059,1.68,4/23/2025 8:30,1181156,57.59,-6.08%
151,TMUS,T-Mobile US Inc,Communication Services,Telecom Services,USA,305862.08,27.69,53.94,4.94,1.35%,3.79,1.85,0.139,0.214,0.214,0.67,4/24/2025 16:30,5652121,267.89,1.26%
152,TRV,Travelers Companies Inc,Financial,Insurance - Property & Casualty,USA,59651.76,12.25,122.97,,1.64%,2.63,0.3,0.107,0.092,0.092,0.54,4/16/2025 8:30,1519659,263.1,-0.53%
153,TSM,Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,816155.39,22.37,25.42,14.25,1.67%,1.88,0.24,0.405,-0.203,-0.203,1.22,4/17/2025 8:30,28370483,157.38,-7.64%
154,TXT,Textron Inc,Industrials,Aerospace & Defense,USA,12145,15.47,39.37,7.93,0.12%,2.95,0.55,0.060,-0.126,-0.126,1.2,4/24/2025 8:30,1977196,66.87,-7.74%
155,UAL,United Airlines Holdings Inc,Industrials,Airlines,USA,19715.67,6.39,38.66,44.25,,2.06,2.65,0.055,-0.380,-0.380,1.4,4/15/2025 16:30,16694385,60.23,-15.61%
156,UCB,United Community Banks Inc,Financial,Banks - Regional,USA,3039.86,12.47,28.01,,3.89%,5.31,0.14,0.164,-0.212,-0.212,0.77,4/22/2025 8:30,1303138,25.45,-8.81%
157,UMC,United Micro Electronics ADR,Technology,Semiconductors,Taiwan,16175.22,11.05,4.59,1.4,5.87%,6.12,0.22,0.203,-0.008,-0.008,1.05,4/23/2025 8:30,16393674,6.44,-4.17%
158,UNF,Unifirst Corp,Industrials,Specialty Business Services,USA,3073.91,21.4,119.35,11.26,0.81%,1.24,0.03,0.061,0.006,0.006,0.88,4/2/2025 8:30,339808,172.17,-2.82%
159,UNH,Unitedhealth Group Inc,Healthcare,Healthcare Plans,USA,494347.14,34.78,101.27,,1.61%,2.16,0.88,0.036,0.068,0.068,0.54,4/17/2025 8:30,6457925,540.44,3.30%
160,UNP,Union Pacific Corp,Industrials,Railroads,USA,134229.3,20.2,27.95,1.74,2.41%,2.77,1.92,0.278,-0.018,-0.018,1.06,4/24/2025 8:30,5754982,223.97,-6.08%
161,USB,U.S. Bancorp,Financial,Banks - Regional,USA,60435.23,10.24,33.19,,5.23%,2.05,1.28,0.140,-0.189,-0.189,0.99,4/16/2025 8:30,16695417,38.79,-9.81%
162,VLO,Valero Energy Corp,Energy,Oil & Gas Refining & Marketing,USA,35939.71,13.47,77.85,14.89,3.93%,4.16,0.47,0.021,-0.068,-0.068,0.93,4/24/2025 8:30,9514556,114.29,-14.47%
163,VLY,Valley National Bancorp,Financial,Banks - Regional,USA,4538.24,11.72,12.67,,5.43%,3.29,0.5,0.101,-0.106,-0.106,1.08,4/24/2025 8:30,10075920,8.1,-10.60%
164,VZ,Verizon Communications Inc,Communication Services,Telecom Services,USA,192046.7,11,23.57,1.07,6.00%,3.18,1.7,0.130,0.141,0.141,0.38,4/22/2025 8:30,30474829,45.62,1.97%
165,WAB,Westinghouse Air Brake Technologies Corp,Industrials,Railroads,USA,29655.82,28.76,58.91,4.19,0.56%,2.2,0.42,0.102,-0.084,-0.084,1.13,4/23/2025 8:30,1217569,173.58,-6.63%
166,WBA,Walgreens Boots Alliance Inc,Healthcare,Pharmaceutical Retailers,USA,9563.97,,11.51,1.38,7.49%,1.81,3.09,-0.059,0.185,0.185,0.74,4/8/2025 8:30,22722538,11.06,-1.07%
167,WCN,Waste Connections Inc,Industrials,Waste Management,Canada,51603.1,83.79,30.46,0.24,0.64%,2.24,1.07,0.069,0.165,0.165,0.65,4/23/2025 16:30,2125287,199.95,1.69%
168,WDFC,WD-40 Co,Basic Materials,Specialty Chemicals,USA,3372.07,47.71,16.7,4.05,1.44%,8,0.51,0.117,0.026,0.026,0.16,4/8/2025 8:30,146717,248.93,0.44%
169,WFC,Wells Fargo & Co,Financial,Banks - Diversified,USA,214422.96,12.22,48.8,,2.60%,2.22,1.6,0.147,-0.065,-0.065,1.12,4/11/2025 8:30,25880259,65.67,-9.12%
170,WFRD,Weatherford International plc,Energy,Oil & Gas Equipment & Services,USA,3307.95,6.73,17.82,13.38,1.95%,2.05,1.39,0.092,-0.366,-0.366,1.55,4/22/2025 16:30,2013026,45.41,-16.31%
171,WHR,Whirlpool Corp,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,4769.66,,48.78,23.02,8.13%,5.47,2.73,-0.020,-0.248,-0.248,1.15,4/23/2025 16:30,3215348,86.12,-5.13%
172,WIT,Wipro Ltd. ADR,Technology,Information Technology Services,India,34088.66,27.34,0.92,0.56,2.62%,9.95,0.24,0.140,-0.175,-0.175,1.02,4/16/2025 8:30,5806397,2.92,-5.50%
173,WM,"Waste Management, Inc",Industrials,Waste Management,USA,95284.39,34.79,20.55,1.05,1.37%,2.33,3.02,0.125,0.174,0.174,0.68,4/28/2025 16:30,2216126,236.83,0.97%
174,WRB,W.R. Berkley Corp,Financial,Insurance - Property & Casualty,USA,26655.8,16.13,22.09,,1.10%,4.08,0.36,0.129,0.201,0.201,0.44,4/21/2025 16:30,2311164,70.29,0.77%
175,WY,Weyerhaeuser Co,Real Estate,REIT - Specialty,USA,19910.04,50.52,13.39,0.94,3.00%,2.95,0.54,0.056,-0.026,-0.026,1.14,4/24/2025 16:30,5364348,27.43,-6.95%
176,ZION,Zions Bancorporation N.A,Financial,Banks - Regional,USA,6464.75,8.84,40.97,,3.95%,3.62,0.82,0.146,-0.192,-0.192,0.85,4/21/2025 16:30,3190744,43.81,-13.14%
