No.,Ticker,Company,Combined_Score,Market Cap_dr,Forward P/E_dr,P/B_dr,P/Free Cash Flow_dr,EPS growth this year_dr,EPS growth next year_dr,Dividend Yield_dr,Return on Assets_dr,Total Debt/Equity_dr,Institutional Ownership_dr,Float Short_dr,Performance (Month)_dr,Performance (Quarter)_dr,Average Volume_dr,Beta_dr,Market Cap,Forward P/E,P/B,P/Free Cash Flow,EPS growth this year,EPS growth next year,Dividend Yield,Return on Assets,Total Debt/Equity,Institutional Ownership,Float Short,Performance (Month),Performance (Quarter),Average Volume,Beta,Sector,Industry,Country,P/E,Price,Change,Volume,PEG,P/S,P/Cash,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Transactions,Short Ratio,Performance (Week),Performance (Half Year),Performance (Year),Performance (YTD),Volatility (Week),Volatility (Month),Analyst Recom,Relative Volume,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Market Cap_Rank,Forward P/E_Rank,P/B_Rank,P/Free Cash Flow_Rank,EPS growth this year_Rank,EPS growth next year_Rank,Dividend Yield_Rank,Return on Assets_Rank,Total Debt/Equity_Rank,Institutional Ownership_Rank,Float Short_Rank,Performance (Month)_Rank,Performance (Quarter)_Rank,Average Volume_Rank,Beta_Rank,Combined_Rank
12,MRO,Marathon Oil Corporation,109,15,1,3,1,1,3,11,2,7,14,15,1,13,2,20,16315.14,6.21,1.44,4.34,338.0,24.02,1.55,19.5,0.52,79.3,2.76,21.03,-6.03,10911.54,2.39,Energy,Oil & Gas E&P,USA,4.96,25.73,0.27%,8192800,,2.02,48.85,48.30%,-9.25%,11.40%,31.80%,21.80%,0.7,0.7,0.49,91.50%,48.90%,44.70%,5/3/2023 4:30:00 PM,637.0,626.67,0.20%,-30.36%,-5.59%,1.58,0.82%,-6.23%,-2.06%,-4.95%,2.17%,3.27%,2.2,0.75,0.03381267003497862,7.60%,3.09%,-1.14%,-23.01%,32.49%,57.7,-0.35%,0.62%,375,17,62,18,6,68,274,41,167,336,362,6,321,45,490,2588
13,PSX,Phillips 66,110,7,2,4,2,1,20,4,3,8,16,12,2,6,7,16,49733.93,8.01,1.7,7.29,683.9,-13.41,3.95,15.9,0.58,73.5,2.04,13.47,3.31,3752.88,1.37,Energy,Oil & Gas Refining & Marketing,USA,4.63,106.26,-0.01%,2111136,0.15,0.29,8.11,38.30%,30.30%,10.60%,42.40%,19.90%,1.4,1.2,0.56,11.80%,5.60%,6.50%,5/3/2023 8:30:00 AM,471.86,458.56,0.20%,0.72%,-1.72%,2.49,3.33%,14.33%,29.63%,2.09%,1.81%,3.03%,2.3,0.56,0.028891398456615845,6.70%,5.24%,10.17%,-6.40%,43.56%,60.52,0.07%,-0.08%,152,44,95,47,1,491,77,65,185,391,279,36,141,157,395,2556
14,UNH,UnitedHealth Group Incorporated,110,1,12,14,8,7,8,13,7,10,8,1,4,6,7,4,474086.44,18.1,6.15,27.23,17.1,13.4,1.29,8.6,0.74,89.7,0.54,9.96,3.25,3500.97,0.67,Healthcare,Healthcare Plans,USA,24.16,511.79,-2.74%,4870447,1.74,1.46,20.29,17.40%,13.89%,10.00%,27.00%,16.80%,,,0.7,,8.80%,6.20%,4/14/2023 8:30:00 AM,934.0,929.88,0.10%,-0.11%,-0.69%,1.44,-0.20%,2.37%,-4.11%,-3.47%,1.93%,1.99%,1.8,1.39,0.02039899177396979,4.70%,5.79%,-0.21%,-8.30%,13.81%,61.48,-1.96%,-0.80%,12,290,342,181,172,194,303,172,244,184,6,81,142,170,97,2590
15,C,Citigroup Inc.,112,4,2,1,2,16,8,3,18,1,16,11,3,8,1,18,96277.74,7.51,0.53,6.23,-29.9,13.86,4.12,0.6,0.0,73.7,1.95,10.58,0.96,19918.18,1.56,Financial,Banks - Diversified,USA,6.97,49.56,4.78%,33049400,,1.29,0.09,5.50%,-9.15%,3.90%,7.60%,8.90%,,,1.49,,59.00%,18.40%,4/14/2023 8:30:00 AM,1936.8,1932.75,0.20%,-0.71%,-0.03%,1.89,8.07%,21.35%,-1.55%,9.57%,2.46%,2.61%,2.5,1.66,0.027643260694108152,8.85%,2.35%,3.48%,-9.16%,23.88%,62.99,2.84%,1.88%,82,36,4,36,400,182,68,445,2,390,268,69,187,23,449,2641
16,VRTX,Vertex Pharmaceuticals Incorporated,112,4,15,14,6,5,13,19,2,2,4,7,2,2,15,2,85821.36,21.51,6.16,21.86,42.3,8.73,0.0,20.5,0.03,95.7,1.37,13.34,12.58,1232.99,0.49,Healthcare,Biotechnology,USA,26.02,333.52,0.05%,930969,2.8,9.61,7.96,65.30%,9.30%,29.10%,26.70%,23.60%,4.8,4.7,0.03,87.90%,48.20%,37.20%,2/7/2023 4:30:00 PM,257.0,256.21,0.10%,-32.79%,1.22%,2.84,3.69%,14.96%,18.63%,15.49%,1.48%,1.85%,2.1,0.76,0.016820580474934038,6.55%,10.44%,11.86%,-0.17%,43.14%,74.85,0.17%,-0.12%,93,355,343,147,103,326,475,32,43,78,163,39,39,369,42,2647
17,INTC,Intel Corporation,113,3,10,3,5,19,1,11,12,5,18,11,2,5,1,7,133096.1,16.78,1.3,14.42,-60.0,243.14,1.57,4.6,0.41,62.5,1.94,12.25,5.28,48109.41,0.87,Technology,Semiconductors,USA,16.35,31.89,-0.75%,24608327,,2.11,4.7,-8.90%,,0.10%,7.90%,2.50%,1.6,1.2,0.37,42.60%,5.30%,12.70%,4/27/2023 4:30:00 PM,4171.05,4167.78,0.06%,6.06%,-1.82%,1.68,-2.80%,25.90%,-31.42%,20.66%,2.26%,3.32%,3.1,0.51,0.029162746942615243,2.95%,10.96%,5.22%,-34.79%,29.69%,61.46,-0.37%,-0.37%,58,251,53,104,457,6,272,289,122,446,267,50,109,8,169,2661
18,MSFT,Microsoft Corporation,115,1,17,17,12,7,7,14,2,5,16,1,6,1,1,8,2076938.71,26.61,11.64,51.09,19.8,14.88,0.95,18.8,0.35,72.4,0.55,7.8,19.97,31848.7,0.93,Technology,Software - Infrastructure,USA,31.81,286.14,-1.28%,20972126,2.6,10.18,20.87,24.30%,12.21%,15.50%,39.30%,31.30%,1.9,1.9,0.32,68.20%,40.50%,33.00%,1/24/2023 4:30:00 PM,7451.0,7438.05,0.06%,-0.74%,0.48%,1.29,-1.87%,26.75%,1.45%,19.31%,1.82%,2.15%,1.9,0.66,0.022506465366603765,1.60%,7.05%,12.43%,-2.73%,34.07%,58.73,-0.25%,-1.03%,2,423,412,293,162,160,345,44,105,398,7,133,18,14,191,2707
19,CSCO,"Cisco Systems, Inc.",116,2,6,13,7,9,15,6,5,3,16,4,13,6,2,9,209223.47,12.54,5.0,22.73,12.7,7.3,3.09,12.0,0.21,74.9,1.02,3.02,3.14,18349.43,0.99,Technology,Communication Equipment,USA,18.51,50.54,-0.51%,12358566,2.53,3.94,9.48,8.20%,7.32%,1.40%,27.90%,22.90%,1.4,1.3,0.18,61.90%,26.10%,21.30%,2/15/2023 4:30:00 PM,4103.0,4092.14,0.10%,-7.51%,-0.07%,2.28,-1.42%,28.70%,-2.47%,6.09%,1.43%,1.62%,2.3,0.67,0.016224772457459437,-0.66%,2.00%,9.00%,-6.11%,30.92%,50.58,0.04%,-0.55%,32,146,306,154,209,369,128,117,72,382,87,317,144,27,218,2708
20,AIG,"American International Group, Inc.",117,9,2,1,4,7,5,8,16,10,6,7,6,19,5,12,37119.1,6.97,0.97,11.51,20.2,18.2,2.49,1.9,0.69,92.0,1.32,7.26,-19.22,5475.47,1.13,Financial,Insurance - Diversified,USA,4.02,51.44,-0.35%,3462978,0.25,0.66,18.17,81.60%,15.98%,2.60%,23.00%,18.60%,,,0.63,,27.30%,18.20%,5/4/2023 4:30:00 PM,744.82,726.3,0.32%,0.00%,-3.13%,1.75,0.70%,5.07%,-17.63%,-18.66%,2.09%,2.90%,2.3,0.63,0.028576982892690513,3.76%,-6.83%,-8.22%,-21.74%,12.66%,48.38,-1.11%,0.77%,215,28,20,78,159,110,186,390,232,145,153,150,475,106,296,2743
21,QCOM,QUALCOMM Incorporated,117,3,5,15,8,4,4,8,1,12,16,4,11,9,3,14,134021.66,10.52,7.17,28.11,45.1,21.83,2.5,24.7,0.9,74.1,1.06,4.04,-1.18,7424.83,1.27,Technology,Semiconductors,USA,11.49,120.16,-0.80%,4831974,,3.12,16.27,47.40%,-7.25%,14.70%,71.10%,41.20%,2.1,1.4,0.82,57.20%,33.50%,27.40%,5/3/2023 4:30:00 PM,1122.0,1107.81,0.10%,-6.22%,-0.30%,1.58,-2.31%,10.60%,-11.71%,9.30%,2.50%,2.56%,2.2,0.65,0.02696404793608522,-2.51%,-3.84%,-4.80%,-23.30%,17.88%,43.7,-0.59%,-0.21%,55,106,364,187,93,82,183,17,284,385,98,268,226,71,352,2771
22,META,"Meta Platforms, Inc.",117,1,12,12,8,18,3,17,4,2,16,6,3,1,1,13,561966.66,18.14,4.65,29.51,-41.7,24.28,0.0,13.3,0.08,75.2,1.31,12.01,62.01,31411.09,1.19,Communication Services,Internet Content & Information,USA,26.5,221.49,0.52%,21567609,6.68,4.82,13.79,5.40%,3.97%,23.50%,18.60%,16.00%,2.2,2.2,0.08,78.30%,24.80%,19.90%,4/26/2023 4:30:00 PM,2639.0,2203.51,0.25%,-3.25%,-1.63%,0.92,2.49%,73.72%,3.43%,84.05%,2.05%,2.58%,2.1,0.69,0.026186283805137926,6.55%,16.18%,45.08%,-1.25%,151.44%,72.25,1.70%,-1.17%,9,292,291,194,428,67,415,95,51,379,151,52,2,15,324,2765
23,V,Visa Inc.,117,1,16,17,9,6,7,15,3,8,1,11,5,5,4,9,486307.61,24.2,13.8,33.76,24.5,14.53,0.77,17.6,0.59,98.9,1.89,8.16,4.65,6198.14,0.96,Financial,Credit Services,USA,32.7,234.02,0.57%,9781013,2.11,16.11,30.17,20.10%,15.48%,9.80%,44.40%,28.10%,1.4,1.4,0.59,80.40%,63.40%,49.20%,4/25/2023 4:30:00 PM,2060.78,1613.56,0.15%,-7.43%,0.69%,4.92,3.55%,31.29%,10.70%,12.64%,1.42%,1.66%,1.8,1.58,0.016109734210751216,4.52%,4.54%,11.57%,-0.12%,34.03%,67.57,0.44%,0.13%,10,398,423,213,140,167,358,54,193,15,260,121,120,94,208,2774
24,DOW,Dow Inc.,118,8,5,5,2,16,2,2,8,10,18,7,3,11,5,16,39986.75,11.63,1.93,7.32,-25.1,50.43,4.96,7.4,0.74,65.6,1.42,11.93,-3.45,5076.69,1.33,Basic Materials,Chemicals,USA,9.04,56.5,-0.74%,3394774,,0.7,10.29,39.60%,-2.61%,5.40%,23.80%,11.60%,1.8,1.2,0.71,15.10%,9.90%,8.00%,4/25/2023 8:30:00 AM,709.3,702.78,0.10%,0.06%,-4.55%,1.97,3.37%,28.97%,-10.69%,12.13%,1.71%,2.04%,2.8,0.67,0.021946902654867255,5.50%,0.95%,8.53%,-21.37%,31.67%,60.46,-0.96%,0.23%,198,122,120,48,385,30,37,195,243,437,174,54,277,114,382,2816
25,RTX,Raytheon Technologies Corporation,119,2,11,6,15,5,6,9,14,6,13,1,8,8,5,10,149611.95,17.46,2.05,85.39,35.9,16.09,2.16,3.3,0.44,80.9,0.65,6.1,0.99,4644.35,1.06,Industrials,Aerospace & Defense,USA,28.95,101.68,0.00%,3017425,2.17,2.23,24.05,-11.80%,13.34%,2.30%,7.30%,4.50%,1.1,0.8,0.42,20.40%,8.10%,7.70%,4/25/2023 8:30:00 AM,1465.9,1451.58,0.09%,-1.06%,-0.99%,2.03,3.53%,22.52%,-0.90%,0.75%,1.38%,1.56%,2.2,0.65,0.016227380015735638,3.50%,3.20%,7.55%,-4.09%,26.67%,62.37,0.58%,-0.58%,49,273,138,356,116,137,218,332,138,313,16,196,186,124,249,2841
26,FISV,"Fiserv, Inc.",120,5,8,7,7,2,8,20,14,10,6,8,9,2,7,7,72174.39,13.81,2.38,22.99,96.6,14.05,0.0,3.2,0.69,92.5,1.43,5.79,12.86,3628.21,0.85,Technology,Information Technology Services,USA,29.59,115.59,-0.11%,2327028,2.17,4.07,80.02,12.00%,13.63%,25.50%,8.20%,6.10%,1.0,1.0,0.68,54.90%,21.10%,14.30%,2/7/2023 8:30:00 AM,633.6,626.74,0.50%,-49.68%,-0.52%,2.47,2.28%,23.36%,16.79%,14.37%,1.57%,1.85%,2.1,0.64,0.01903278830348646,2.93%,2.07%,11.17%,-3.26%,32.82%,59.31,-0.22%,0.11%,107,186,170,156,49,181,501,336,229,138,178,204,37,164,160,2796
27,HIG,"The Hartford Financial Services Group, Inc.",121,13,2,4,2,15,7,8,15,1,5,4,11,17,10,7,21114.17,7.02,1.62,6.35,-17.8,14.49,2.5,2.5,0.0,93.6,1.04,4.15,-10.77,2263.86,0.85,Financial,Insurance - Diversified,USA,12.48,68.04,-3.94%,3591789,0.98,0.94,92.2,26.30%,12.72%,5.40%,13.00%,11.50%,,,0.33,,11.00%,8.00%,4/27/2023 4:30:00 PM,317.3,311.66,0.20%,-42.18%,-1.63%,1.43,-2.61%,6.86%,-8.56%,-10.27%,2.18%,2.50%,2.0,1.59,0.026601998824221044,-0.86%,-6.45%,-3.23%,-14.35%,13.09%,42.19,-1.79%,-2.19%,317,29,85,37,363,170,184,371,13,118,93,262,408,241,155,2846
28,DVN,Devon Energy Corporation,121,9,2,10,4,2,18,1,1,8,13,13,1,17,2,20,36854.46,7.94,3.23,14.13,118.0,2.21,9.08,25.8,0.6,80.7,2.37,23.45,-11.79,10658.53,2.36,Energy,Oil & Gas E&P,USA,6.1,55.7,0.87%,5954436,,1.92,25.35,94.00%,-4.02%,24.10%,57.50%,34.90%,1.3,1.2,0.58,55.30%,41.60%,31.10%,2/14/2023 4:30:00 PM,648.0,647.71,0.40%,1.32%,0.46%,1.44,5.27%,-17.09%,-5.71%,-8.18%,2.15%,2.93%,2.2,0.56,0.03016157989228007,10.69%,4.03%,-7.53%,-27.00%,26.50%,63.97,0.67%,0.20%,219,42,232,101,39,452,3,14,195,315,322,4,419,46,489,2892
29,ADI,"Analog Devices, Inc.",122,4,11,8,9,4,19,10,9,1,8,4,13,2,7,13,96988.39,17.25,2.62,36.01,51.6,2.02,1.82,6.8,0.0,89.3,1.03,3.05,11.76,3435.57,1.16,Technology,Semiconductors,USA,28.46,188.51,-0.31%,1988119,4.31,7.71,58.06,18.10%,6.60%,18.00%,9.40%,6.80%,2.1,1.5,0.18,65.60%,32.20%,27.30%,2/15/2023 8:30:00 AM,507.12,504.56,0.37%,-5.19%,0.21%,1.51,0.72%,36.02%,21.23%,14.92%,2.27%,2.28%,2.0,0.58,0.023765317489788343,-0.43%,1.42%,14.12%,-4.91%,41.23%,50.65,0.20%,-0.51%,81,266,191,226,84,455,241,214,23,191,90,316,45,172,306,2901
30,CMCSA,Comcast Corporation,123,2,4,6,5,19,9,6,16,14,10,3,9,10,1,9,161018.34,9.28,2.01,14.58,-60.2,12.27,3.06,2.0,1.24,85.6,0.88,5.77,-1.89,19217.0,0.99,Communication Services,Telecom Services,USA,31.87,37.96,-0.24%,19677804,4.98,1.33,33.91,-10.40%,6.40%,7.40%,6.20%,5.40%,0.8,0.8,1.21,68.50%,11.60%,4.40%,4/27/2023 8:30:00 AM,4277.0,4164.55,0.74%,-0.01%,-1.83%,1.91,0.72%,32.31%,-19.66%,8.55%,2.02%,1.74%,2.4,1.02,0.019494204425711273,2.27%,1.15%,4.83%,-21.31%,33.71%,56.35,0.00%,-0.24%,45,78,132,106,458,220,130,386,334,245,58,205,240,25,217,2879
31,CF,"CF Industries Holdings, Inc.",123,16,4,9,1,1,20,9,1,2,3,14,8,17,9,9,15465.33,9.33,3.0,5.0,286.3,-24.14,2.08,24.9,0.0,97.0,2.47,6.35,-10.69,2860.46,1.0,Basic Materials,Agricultural Inputs,USA,4.72,77.08,0.05%,1419207,,1.38,6.66,98.50%,,22.10%,74.00%,52.80%,3.7,3.2,0.59,52.40%,48.20%,29.90%,2/15/2023 4:30:00 PM,196.4,195.35,0.20%,0.00%,-2.35%,1.69,7.86%,-24.84%,-29.81%,-9.53%,3.44%,3.27%,2.4,0.5,0.03425012973533991,5.95%,-3.01%,-16.97%,-35.55%,13.44%,54.41,-1.00%,1.06%,390,80,218,26,9,498,223,16,32,54,335,181,406,202,219,2889
32,ACGL,Arch Capital Group Ltd.,123,12,5,6,2,16,8,20,14,3,7,10,3,2,10,5,26036.76,10.45,2.13,6.92,-27.3,13.27,0.0,3.1,0.23,90.7,1.66,11.97,11.38,2158.74,0.72,Financial,Insurance - Diversified,Bermuda,18.45,70.25,-0.35%,1437731,1.05,2.74,30.45,22.00%,17.60%,11.60%,12.30%,8.90%,,,0.23,,14.80%,15.10%,4/26/2023 4:30:00 PM,365.87,358.48,0.90%,-3.48%,-0.11%,2.76,1.90%,54.19%,47.31%,11.90%,1.66%,2.42%,1.8,0.67,0.02206405693950178,4.17%,4.65%,25.79%,-2.81%,71.13%,60.69,-0.78%,0.43%,278,104,148,41,391,196,480,341,76,171,229,53,48,248,110,2914
