Date,Action,Symbol,Company,Reason,,,,,,,,,,
21-Jun-22,Added,ON,ON Semiconductor,Market capitalization change.[26],,,,,,,,,,
21-Jun-22,Removed,UA,Under Armour (Class C),Market capitalization change.[26],,,,,,,,,,
21-Jun-22,Removed,UAA,Under Armour (Class A),Market capitalization change.[26],,,,,,,,,,
21-Jun-22,Removed,IPGP,IPG Photonics,Market capitalization change.[26],,,,,,,,,,
8-Jun-22,Added,VICI,Vici Properties,S&P 500 constituent Oracle Corp. acquired Cerner.[26],,,,,,,,,,
8-Jun-22,Removed,CERN,Cerner,S&P 500 constituent Oracle Corp. acquired Cerner.[26],,,,,,,,,,
4-Apr-22,Added,CPT,Camden Property Trust,S&P 500 constituent M&T Bank Corp. acquired People's United Financial.[27],,,,,,,,,,
4-Apr-22,Removed,PBCT,People's United Financial,S&P 500 constituent M&T Bank Corp. acquired People's United Financial.[27],,,,,,,,,,
2-Mar-22,Added,MOH,Molina Healthcare,S&P 500 constituent S&P Global Inc. acquired IHS Markit.[28],,,,,,,,,,
2-Mar-22,Removed,INFO,IHS Markit,S&P 500 constituent S&P Global Inc. acquired IHS Markit.[28],,,,,,,,,,
15-Feb-22,Added,NDSN,Nordson Corporation,S&P 500 constituent Advanced Micro Devices acquired Xilinx.[29],,,,,,,,,,
15-Feb-22,Removed,XLNX,Xilinx,S&P 500 constituent Advanced Micro Devices acquired Xilinx.[29],,,,,,,,,,
3-Feb-22,Removed,GPS,Gap,Market capitalization change.[30],,,,,,,,,,
2-Feb-22,Added,CEG,Constellation Energy,S&P 500 and 100 constituent Exelon Corp. spun off Constellation Energy.[30],,,,,,,,,,
20-Dec-21,Added,SBNY,Signature Bank,Market capitalization change.[31],,,,,,,,,,
20-Dec-21,Added,SEDG,SolarEdge,Market capitalization change.[31],,,,,,,,,,
20-Dec-21,Added,FDS,FactSet,Market capitalization change.[31],,,,,,,,,,
20-Dec-21,Removed,LEG,Leggett & Platt,Market capitalization change.[31],,,,,,,,,,
20-Dec-21,Removed,HBI,Hanesbrands,Market capitalization change.[31],,,,,,,,,,
20-Dec-21,Removed,WU,Western Union,Market capitalization change.[31],,,,,,,,,,
14-Dec-21,Added,EPAM,EPAM Systems,Canadian Pacific acquired Kansas City Southern.[32],,,,,,,,,,
