No.,Symbol,Company,Sector,Industry,Country
145,DTE,DTE Energy Co,Utilities,Utilities - Regulated Electric,USA
146,DUK,Duke Energy Corp,Utilities,Utilities - Regulated Electric,USA
147,DVA,DaVita Inc,Healthcare,Medical Care Facilities,USA
148,DVN,Devon Energy Corp,Energy,Oil & Gas E&P,USA
149,DXCM,Dexcom Inc,Healthcare,Medical Devices,USA
150,EA,"Electronic Arts, Inc",Communication Services,Electronic Gaming & Multimedia,USA
151,EBAY,EBay Inc,Consumer Cyclical,Internet Retail,USA
152,ECL,"Ecolab, Inc",Basic Materials,Specialty Chemicals,USA
153,ED,"Consolidated Edison, Inc",Utilities,Utilities - Regulated Electric,USA
154,EFX,"Equifax, Inc",Industrials,Consulting Services,USA
155,EG,Everest Group Ltd,Financial,Insurance - Reinsurance,Bermuda
156,EIX,Edison International,Utilities,Utilities - Regulated Electric,USA
157,EL,"Estee Lauder Cos., Inc",Consumer Defensive,Household & Personal Products,USA
158,ELV,Elevance Health Inc,Healthcare,Healthcare Plans,USA
159,EMN,Eastman Chemical Co,Basic Materials,Specialty Chemicals,USA
160,EMR,Emerson Electric Co,Industrials,Specialty Industrial Machinery,USA
161,ENPH,Enphase Energy Inc,Technology,Solar,USA
162,EOG,"EOG Resources, Inc",Energy,Oil & Gas E&P,USA
163,EPAM,EPAM Systems Inc,Technology,Information Technology Services,USA
164,EQIX,Equinix Inc,Real Estate,REIT - Specialty,USA
165,EQR,Equity Residential Properties Trust,Real Estate,REIT - Residential,USA
166,EQT,EQT Corp,Energy,Oil & Gas E&P,USA
167,ERIE,Erie Indemnity Co,Financial,Insurance Brokers,USA
168,ES,Eversource Energy,Utilities,Utilities - Regulated Electric,USA
169,ESS,"Essex Property Trust, Inc",Real Estate,REIT - Residential,USA
170,ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland
171,ETR,Entergy Corp,Utilities,Utilities - Regulated Electric,USA
172,EVRG,Evergy Inc,Utilities,Utilities - Regulated Electric,USA
173,EW,Edwards Lifesciences Corp,Healthcare,Medical Devices,USA
174,EXC,Exelon Corp,Utilities,Utilities - Regulated Electric,USA
175,EXE,Expand Energy Corp,Energy,Oil & Gas E&P,USA
176,EXPD,"Expeditors International Of Washington, Inc",Industrials,Integrated Freight & Logistics,USA
177,EXPE,Expedia Group Inc,Consumer Cyclical,Travel Services,USA
178,EXR,Extra Space Storage Inc,Real Estate,REIT - Industrial,USA
179,F,Ford Motor Co,Consumer Cyclical,Auto Manufacturers,USA
180,FANG,Diamondback Energy Inc,Energy,Oil & Gas E&P,USA
