No.,Symbol,Company
200,GD,General Dynamics Corp.
201,GDDY,Godaddy Inc
202,GE,GE Aerospace
203,GEHC,GE HealthCare Technologies Inc
204,GEN,Gen Digital Inc
205,GEV,GE Vernova Inc.
206,GILD,"Gilead Sciences, Inc."
207,GIS,"General Mills, Inc."
208,GL,Globe Life Inc
209,GLW,"Corning, Inc."
210,GM,General Motors Company
211,GNRC,Generac Holdings Inc
212,GOOG,Alphabet Inc
213,GOOGL,Alphabet Inc
214,GPC,Genuine Parts Co.
215,GPN,"Global Payments, Inc."
216,GRMN,Garmin Ltd
217,GS,"Goldman Sachs Group, Inc."
218,GWW,W.W. Grainger Inc.
219,HAL,Halliburton Co.
220,HAS,"Hasbro, Inc."
221,HBAN,"Huntington Bancshares, Inc."
222,HCA,HCA Healthcare Inc
223,HD,"Home Depot, Inc."
224,HES,Hess Corporation
225,HIG,Hartford Financial Services Group Inc.
226,HII,Huntington Ingalls Industries Inc
227,HLT,Hilton Worldwide Holdings Inc
228,HOLX,"Hologic, Inc."
229,HON,Honeywell International Inc
230,HPE,Hewlett Packard Enterprise Co
231,HPQ,HP Inc
232,HRL,Hormel Foods Corp.
233,HSIC,Henry Schein Inc.
234,HST,Host Hotels & Resorts Inc
235,HSY,Hershey Company
236,HUBB,Hubbell Inc.
237,HUM,Humana Inc.
238,HWM,Howmet Aerospace Inc
239,IBM,International Business Machines Corp.
240,ICE,Intercontinental Exchange Inc
241,IDXX,"Idexx Laboratories, Inc."
242,IEX,Idex Corporation
243,IFF,International Flavors & Fragrances Inc.
244,INCY,Incyte Corp.
245,INTC,Intel Corp.
246,INTU,Intuit Inc
247,INVH,Invitation Homes Inc
248,IP,International Paper Co.
249,IPG,"Interpublic Group Of Cos., Inc."
250,IQV,IQVIA Holdings Inc
251,IR,Ingersoll-Rand Inc
252,IRM,Iron Mountain Inc.
253,ISRG,Intuitive Surgical Inc
254,IT,"Gartner, Inc."
255,ITW,"Illinois Tool Works, Inc."
256,IVZ,Invesco Ltd
257,J,Jacobs Solutions Inc
258,JBHT,"J.B. Hunt Transport Services, Inc."
259,JBL,Jabil Inc
260,JCI,Johnson Controls International plc
261,JKHY,"Jack Henry & Associates, Inc."
262,JNJ,Johnson & Johnson
263,JNPR,Juniper Networks Inc
264,JPM,JPMorgan Chase & Co.
265,K,Kellanova Co
266,KDP,Keurig Dr Pepper Inc
267,KEY,Keycorp
268,KEYS,Keysight Technologies Inc
269,KHC,Kraft Heinz Co
270,KIM,Kimco Realty Corporation
271,KKR,KKR & Co. Inc
272,KLAC,KLA Corp.
273,KMB,Kimberly-Clark Corp.
274,KMI,Kinder Morgan Inc
275,KMX,Carmax Inc
276,KO,Coca-Cola Co
277,KR,Kroger Co.
278,KVUE,Kenvue Inc
279,L,Loews Corp.
280,LDOS,Leidos Holdings Inc
281,LEN,Lennar Corp.
282,LH,Labcorp Holdings Inc.
283,LHX,L3Harris Technologies Inc
284,LIN,Linde Plc.
285,LKQ,LKQ Corp
286,LLY,Lilly(Eli) & Co
287,LMT,Lockheed Martin Corp.
288,LNT,Alliant Energy Corp.
289,LOW,"Lowe's Cos., Inc."
290,LRCX,Lam Research Corp.
291,LULU,Lululemon Athletica inc.
292,LUV,Southwest Airlines Co
293,LVS,Las Vegas Sands Corp
294,LW,Lamb Weston Holdings Inc
295,LYB,LyondellBasell Industries NV
296,LYV,Live Nation Entertainment Inc
297,MA,Mastercard Incorporated
298,MAA,"Mid-America Apartment Communities, Inc."
299,MAR,"Marriott International, Inc."
300,MAS,Masco Corp.
301,MCD,McDonald's Corp
302,MCHP,"Microchip Technology, Inc."
303,MCK,Mckesson Corporation
304,MCO,Moody's Corp.
305,MDLZ,Mondelez International Inc.
306,MDT,Medtronic Plc
307,MET,Metlife Inc
308,META,Meta Platforms Inc
309,MGM,MGM Resorts International
310,MHK,"Mohawk Industries, Inc."
311,MKC,"McCormick & Co., Inc."
312,MKTX,MarketAxess Holdings Inc.
313,MLM,"Martin Marietta Materials, Inc."
314,MMC,"Marsh & McLennan Cos., Inc."
315,MMM,3M Co.
316,MNST,Monster Beverage Corp.
317,MO,Altria Group Inc.
318,MOH,Molina Healthcare Inc
319,MOS,Mosaic Company
320,MPC,Marathon Petroleum Corp
321,MPWR,Monolithic Power System Inc
322,MRK,Merck & Co Inc
323,MRNA,Moderna Inc
324,MRO,Marathon Oil Corporation
325,MS,Morgan Stanley
326,MSCI,MSCI Inc
327,MSFT,Microsoft Corporation
328,MSI,Motorola Solutions Inc
329,MTB,M & T Bank Corp
330,MTCH,Match Group Inc.
331,MTD,"Mettler-Toledo International, Inc."
332,MU,Micron Technology Inc.
333,NCLH,Norwegian Cruise Line Holdings Ltd
334,NDAQ,Nasdaq Inc
335,NDSN,Nordson Corp.
336,NEE,NextEra Energy Inc
337,NEM,Newmont Corp
338,NFLX,Netflix Inc.
339,NI,NiSource Inc
340,NKE,"Nike, Inc."
341,NOC,Northrop Grumman Corp.
342,NOW,ServiceNow Inc
343,NRG,NRG Energy Inc.
344,NSC,Norfolk Southern Corp.
345,NTAP,Netapp Inc
346,NTRS,Northern Trust Corp.
347,NUE,Nucor Corp.
348,NVDA,NVIDIA Corp
349,NVR,NVR Inc.
350,NWS,News Corp
351,NWSA,News Corp
352,NXPI,NXP Semiconductors NV
353,O,Realty Income Corp.
354,ODFL,"Old Dominion Freight Line, Inc."
355,OKE,Oneok Inc.
356,OMC,"Omnicom Group, Inc."
357,ON,ON Semiconductor Corp.
358,ORCL,Oracle Corp.
359,ORLY,"O'Reilly Automotive, Inc."
360,OTIS,Otis Worldwide Corp
361,OXY,Occidental Petroleum Corp.
362,PANW,Palo Alto Networks Inc
363,PARA,Paramount Global
364,PAYC,Paycom Software Inc
365,PAYX,Paychex Inc.
366,PCAR,Paccar Inc.
367,PCG,PG&E Corp.
368,PEG,Public Service Enterprise Group Inc.
369,PEP,PepsiCo Inc
370,PFE,Pfizer Inc.
371,PFG,Principal Financial Group Inc
372,PG,Procter & Gamble Co.
373,PGR,Progressive Corp.
374,PH,Parker-Hannifin Corp.
375,PHM,PulteGroup Inc
376,PKG,Packaging Corp Of America
377,PLD,Prologis Inc
378,PM,Philip Morris International Inc
379,PNC,PNC Financial Services Group Inc
380,PNR,Pentair plc
381,PNW,Pinnacle West Capital Corp.
382,PODD,Insulet Corporation
383,POOL,Pool Corporation
384,PPG,"PPG Industries, Inc."
385,PPL,PPL Corp
386,PRU,Prudential Financial Inc.
387,PSA,Public Storage.
388,PSX,Phillips 66
389,PTC,PTC Inc
390,PWR,"Quanta Services, Inc."
391,PYPL,PayPal Holdings Inc
392,QCOM,"Qualcomm, Inc."
393,QRVO,Qorvo Inc
394,RCL,Royal Caribbean Group
395,REG,Regency Centers Corporation
396,REGN,"Regeneron Pharmaceuticals, Inc."
397,RF,Regions Financial Corp.
398,RJF,"Raymond James Financial, Inc."
399,RL,Ralph Lauren Corp
400,RMD,Resmed Inc.
401,ROK,Rockwell Automation Inc
402,ROL,"Rollins, Inc."
403,ROP,Roper Technologies Inc
404,ROST,"Ross Stores, Inc."
405,RSG,"Republic Services, Inc."
406,RTX,RTX Corp
407,RVTY,Revvity Inc.
408,SBAC,SBA Communications Corp
409,SBUX,Starbucks Corp.
410,SCHW,Charles Schwab Corp.
411,SHW,Sherwin-Williams Co.
412,SJM,J.M. Smucker Co.
413,SLB,Schlumberger Ltd.
414,SMCI,Super Micro Computer Inc
415,SNA,"Snap-on, Inc."
