No.,Symbol,Company,Sector
311,MKC,"McCormick & Co., Inc.",Consumer Defensive
312,MKTX,MarketAxess Holdings Inc.,Financial
313,MLM,"Martin Marietta Materials, Inc.",Basic Materials
314,MMC,"Marsh & McLennan Cos., Inc.",Financial
315,MMM,3M Co.,Industrials
316,MNST,Monster Beverage Corp.,Consumer Defensive
317,MO,Altria Group Inc.,Consumer Defensive
318,MOH,Molina Healthcare Inc,Healthcare
319,MOS,Mosaic Company,Basic Materials
320,MPC,Marathon Petroleum Corp,Energy
321,MPWR,Monolithic Power System Inc,Technology
322,MRK,Merck & Co Inc,Healthcare
323,MRNA,Moderna Inc,Healthcare
324,MRO,Marathon Oil Corporation,Energy
325,MS,Morgan Stanley,Financial
326,MSCI,MSCI Inc,Financial
327,MSFT,Microsoft Corporation,Technology
328,MSI,Motorola Solutions Inc,Technology
329,MTB,M & T Bank Corp,Financial
330,MTCH,Match Group Inc.,Communication Services
331,MTD,"Mettler-Toledo International, Inc.",Healthcare
332,MU,Micron Technology Inc.,Technology
333,NCLH,Norwegian Cruise Line Holdings Ltd,Consumer Cyclical
334,NDAQ,Nasdaq Inc,Financial
335,NDSN,Nordson Corp.,Industrials
336,NEE,NextEra Energy Inc,Utilities
337,NEM,Newmont Corp,Basic Materials
338,NFLX,Netflix Inc.,Communication Services
339,NI,NiSource Inc,Utilities
340,NKE,"Nike, Inc.",Consumer Cyclical
341,NOC,Northrop Grumman Corp.,Industrials
342,NOW,ServiceNow Inc,Technology
343,NRG,NRG Energy Inc.,Utilities
344,NSC,Norfolk Southern Corp.,Industrials
345,NTAP,Netapp Inc,Technology
346,NTRS,Northern Trust Corp.,Financial
347,NUE,Nucor Corp.,Basic Materials
348,NVDA,NVIDIA Corp,Technology
349,NVR,NVR Inc.,Consumer Cyclical
350,NWS,News Corp,Communication Services
351,NWSA,News Corp,Communication Services
352,NXPI,NXP Semiconductors NV,Technology
353,O,Realty Income Corp.,Real Estate
354,ODFL,"Old Dominion Freight Line, Inc.",Industrials
355,OKE,Oneok Inc.,Energy
356,OMC,"Omnicom Group, Inc.",Communication Services
357,ON,ON Semiconductor Corp.,Technology
358,ORCL,Oracle Corp.,Technology
359,ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical
360,OTIS,Otis Worldwide Corp,Industrials
361,OXY,Occidental Petroleum Corp.,Energy
362,PANW,Palo Alto Networks Inc,Technology
363,PARA,Paramount Global,Communication Services
364,PAYC,Paycom Software Inc,Technology
365,PAYX,Paychex Inc.,Industrials
366,PCAR,Paccar Inc.,Industrials
367,PCG,PG&E Corp.,Utilities
368,PEG,Public Service Enterprise Group Inc.,Utilities
369,PEP,PepsiCo Inc,Consumer Defensive
370,PFE,Pfizer Inc.,Healthcare
371,PFG,Principal Financial Group Inc,Financial
372,PG,Procter & Gamble Co.,Consumer Defensive
373,PGR,Progressive Corp.,Financial
374,PH,Parker-Hannifin Corp.,Industrials
375,PHM,PulteGroup Inc,Consumer Cyclical
376,PKG,Packaging Corp Of America,Consumer Cyclical
377,PLD,Prologis Inc,Real Estate
378,PM,Philip Morris International Inc,Consumer Defensive
379,PNC,PNC Financial Services Group Inc,Financial
380,PNR,Pentair plc,Industrials
381,PNW,Pinnacle West Capital Corp.,Utilities
382,PODD,Insulet Corporation,Healthcare
383,POOL,Pool Corporation,Industrials
384,PPG,"PPG Industries, Inc.",Basic Materials
385,PPL,PPL Corp,Utilities
386,PRU,Prudential Financial Inc.,Financial
387,PSA,Public Storage.,Real Estate
388,PSX,Phillips 66,Energy
389,PTC,PTC Inc,Technology
390,PWR,"Quanta Services, Inc.",Industrials
391,PYPL,PayPal Holdings Inc,Financial
392,QCOM,"Qualcomm, Inc.",Technology
393,QRVO,Qorvo Inc,Technology
394,RCL,Royal Caribbean Group,Consumer Cyclical
395,REG,Regency Centers Corporation,Real Estate
396,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare
397,RF,Regions Financial Corp.,Financial
398,RJF,"Raymond James Financial, Inc.",Financial
399,RL,Ralph Lauren Corp,Consumer Cyclical
400,RMD,Resmed Inc.,Healthcare
401,ROK,Rockwell Automation Inc,Industrials
402,ROL,"Rollins, Inc.",Consumer Cyclical
403,ROP,Roper Technologies Inc,Technology
404,ROST,"Ross Stores, Inc.",Consumer Cyclical
405,RSG,"Republic Services, Inc.",Industrials
406,RTX,RTX Corp,Industrials
407,RVTY,Revvity Inc.,Healthcare
408,SBAC,SBA Communications Corp,Real Estate
409,SBUX,Starbucks Corp.,Consumer Cyclical
410,SCHW,Charles Schwab Corp.,Financial
411,SHW,Sherwin-Williams Co.,Basic Materials
412,SJM,J.M. Smucker Co.,Consumer Defensive
413,SLB,Schlumberger Ltd.,Energy
414,SMCI,Super Micro Computer Inc,Technology
415,SNA,"Snap-on, Inc.",Industrials
416,SNPS,"Synopsys, Inc.",Technology
417,SO,Southern Company,Utilities
418,SOLV,Solventum Corp,Healthcare
419,SPG,"Simon Property Group, Inc.",Real Estate
420,SPGI,S&P Global Inc,Financial
421,SRE,Sempra,Utilities
422,STE,Steris Plc,Healthcare
423,STLD,Steel Dynamics Inc.,Basic Materials
424,STT,State Street Corp.,Financial
425,STX,Seagate Technology Holdings Plc,Technology
426,STZ,Constellation Brands Inc,Consumer Defensive
427,SW,Smurfit WestRock plc,Consumer Cyclical
428,SWK,Stanley Black & Decker Inc,Industrials
429,SWKS,"Skyworks Solutions, Inc.",Technology
430,SYF,Synchrony Financial,Financial
431,SYK,Stryker Corp.,Healthcare
432,SYY,Sysco Corp.,Consumer Defensive
433,T,"AT&T, Inc.",Communication Services
434,TAP,Molson Coors Beverage Company,Consumer Defensive
435,TDG,Transdigm Group Incorporated,Industrials
436,TDY,Teledyne Technologies Inc,Technology
437,TECH,Bio-Techne Corp,Healthcare
438,TEL,TE Connectivity Ltd,Technology
439,TER,"Teradyne, Inc.",Technology
440,TFC,Truist Financial Corporation,Financial
441,TFX,Teleflex Incorporated,Healthcare
442,TGT,Target Corp,Consumer Defensive
443,TJX,"TJX Companies, Inc.",Consumer Cyclical
444,TMO,Thermo Fisher Scientific Inc.,Healthcare
445,TMUS,T-Mobile US Inc,Communication Services
446,TPR,Tapestry Inc,Consumer Cyclical
447,TRGP,Targa Resources Corp,Energy
448,TRMB,Trimble Inc,Technology
449,TROW,T. Rowe Price Group Inc.,Financial
450,TRV,Travelers Companies Inc.,Financial
451,TSCO,Tractor Supply Co.,Consumer Cyclical
452,TSLA,Tesla Inc,Consumer Cyclical
453,TSN,"Tyson Foods, Inc.",Consumer Defensive
454,TT,Trane Technologies plc,Industrials
455,TTWO,"Take-Two Interactive Software, Inc.",Communication Services
456,TXN,Texas Instruments Inc.,Technology
457,TXT,Textron Inc.,Industrials
458,TYL,"Tyler Technologies, Inc.",Technology
459,UAL,United Airlines Holdings Inc,Industrials
460,UBER,Uber Technologies Inc,Technology
461,UDR,UDR Inc,Real Estate
462,UHS,"Universal Health Services, Inc.",Healthcare
463,ULTA,Ulta Beauty Inc,Consumer Cyclical
464,UNH,Unitedhealth Group Inc,Healthcare
465,UNP,Union Pacific Corp.,Industrials
466,UPS,"United Parcel Service, Inc.",Industrials
467,URI,"United Rentals, Inc.",Industrials
468,USB,U.S. Bancorp.,Financial
469,V,Visa Inc,Financial
470,VICI,VICI Properties Inc,Real Estate
471,VLO,Valero Energy Corp.,Energy
472,VLTO,Veralto Corp,Industrials
473,VMC,Vulcan Materials Co,Basic Materials
474,VRSK,Verisk Analytics Inc,Industrials
475,VRSN,Verisign Inc.,Technology
476,VRTX,"Vertex Pharmaceuticals, Inc.",Healthcare
477,VST,Vistra Corp,Utilities
478,VTR,Ventas Inc,Real Estate
479,VTRS,Viatris Inc,Healthcare
480,VZ,Verizon Communications Inc,Communication Services
481,WAB,Westinghouse Air Brake Technologies Corp,Industrials
482,WAT,Waters Corp.,Healthcare
483,WBA,Walgreens Boots Alliance Inc,Healthcare
484,WBD,Warner Bros. Discovery Inc,Communication Services
485,WDC,Western Digital Corp.,Technology
486,WEC,WEC Energy Group Inc,Utilities
487,WELL,Welltower Inc.,Real Estate
488,WFC,Wells Fargo & Co.,Financial
489,WM,"Waste Management, Inc.",Industrials
490,WMB,Williams Cos Inc,Energy
491,WMT,Walmart Inc,Consumer Defensive
492,WRB,W.R. Berkley Corp.,Financial
493,WST,"West Pharmaceutical Services, Inc.",Healthcare
494,WTW,Willis Towers Watson Public Limited Co,Financial
495,WY,Weyerhaeuser Co.,Real Estate
496,WYNN,Wynn Resorts Ltd.,Consumer Cyclical
497,XEL,"Xcel Energy, Inc.",Utilities
498,XOM,Exxon Mobil Corp.,Energy
499,XYL,Xylem Inc,Industrials
500,YUM,Yum Brands Inc.,Consumer Cyclical
501,ZBH,Zimmer Biomet Holdings Inc,Healthcare
502,ZBRA,Zebra Technologies Corp.,Technology
503,ZTS,Zoetis Inc,Healthcare
